aqi,city,cityid,co,id,iscity,lat,lon,monitortime,no2,o3,o3_8h,pm10,pm25,pollutantlevel,positionname,primarypollutant,scrapytime,so2,stationcode,stationid
65,榆林,,1.5,,2,,,2017-08-17 11:00:00,31,114,63,80,41,良,实验中学,颗粒物(PM10),,8,,
75,榆林,,1.2,,2,,,2017-08-17 11:00:00,19,134,58,75,55,良,环保监测大楼　,细颗粒物(PM2.5),,6,,
53,玉林,,0.75,,1,,,2017-08-17 11:00:00,10,48,20,54,53,良,玉林,颗粒物(PM10),,36,,
56,玉林,,_,,2,,,2017-08-17 11:00:00,9,_,11,61,17,良,寒山水库,颗粒物(PM10),,13,,
42,玉林,,0.9,,2,,,2017-08-17 11:00:00,9,47,23,42,26,优,市监测站,_,,24,,
55,玉林,,0.6,,2,,,2017-08-17 11:00:00,12,49,27,60,25,良,南江一中,颗粒物(PM10),,72,,
22,岳阳,,0.5,,1,,,2017-08-17 11:00:00,13,46,31,21,22,优,岳阳,,,16,,
28,岳阳,,0.7,,2,,,2017-08-17 11:00:00,23,33,24,28,15,优,南湖风景区,_,,52,,
22,岳阳,,0.5,,2,,,2017-08-17 11:00:00,12,43,23,18,15,优,城陵矶,_,,14,,
31,岳阳,,0.4,,2,,,2017-08-17 11:00:00,8,52,30,31,5,优,开发区,_,,21,,
25,岳阳,,0.2,,2,,,2017-08-17 11:00:00,26,65,46,25,_,优,云溪区,_,,3,,
29,岳阳,,0.8,,2,,,2017-08-17 11:00:00,6,39,38,22,20,优,君山区,_,,1,,
16,岳阳,,0.4,,2,,,2017-08-17 11:00:00,4,49,26,2,2,优,金凤水库,_,,10,,
37,永州,,0.44,,1,,,2017-08-17 11:00:00,5,47,20,36,37,优,永州,,,6,,
18,永州,,0.4,,2,,,2017-08-17 11:00:00,2,54,20,18,12,优,零陵南津渡,_,,5,,
39,永州,,0.5,,2,,,2017-08-17 11:00:00,7,61,31,37,27,优,市环境监测站,_,,6,,
38,永州,,0.4,,2,,,2017-08-17 11:00:00,2,35,12,38,9,优,零陵区环保局,_,,7,,
38,永州,,0.4,,2,,,2017-08-17 11:00:00,11,37,18,38,19,优,永州市环保局,_,,5,,
49,永州,,0.5,,2,,,2017-08-17 11:00:00,7,50,22,49,11,优,冷水滩区环保局,_,,10,,
33,益阳,,0.84,,1,,,2017-08-17 11:00:00,18,57,33,32,33,优,益阳,,,11,,
20,益阳,,1.1,,2,,,2017-08-17 11:00:00,22,57,27,20,11,优,甘溪港,_,,20,,
32,益阳,,0.5,,2,,,2017-08-17 11:00:00,19,58,28,32,13,优,市环保局,_,,10,,
44,益阳,,0.9,,2,,,2017-08-17 11:00:00,13,62,39,44,20,优,市特殊教育学校,_,,8,,
30,益阳,,0.7,,2,,,2017-08-17 11:00:00,19,54,39,30,12,优,资阳区政务中心,_,,15,,
38,益阳,,1.0,,2,,,2017-08-17 11:00:00,18,57,32,38,15,优,赫山环保分局,_,,4,,
41,宜兴,,0.7,,1,,,2017-08-17 11:00:00,24,104,31,40,41,优,宜兴,,,11,,
55,宜兴,,0.6,,2,,,2017-08-17 11:00:00,15,112,35,59,17,良,宜兴市环保局,颗粒物(PM10),,12,,
31,宜兴,,0.8,,2,,,2017-08-17 11:00:00,33,97,27,22,16,优,宜园,_,,10,,
52,义乌,,0.65,,1,,,2017-08-17 11:00:00,22,93,27,52,52,良,义乌,颗粒物(PM10),,12,,
51,义乌,,0.6,,2,,,2017-08-17 11:00:00,17,86,24,52,27,良,江东,颗粒物(PM10),,10,,
52,义乌,,0.7,,2,,,2017-08-17 11:00:00,28,100,30,53,29,良,北苑,颗粒物(PM10),,15,,
56,鹰潭,,0.6,,1,,,2017-08-17 11:00:00,17,53,26,60,56,良,鹰潭,颗粒物(PM10),,75,,
28,鹰潭,,0.7,,2,,,2017-08-17 11:00:00,7,54,21,28,12,优,龙虎山,_,,27,,
66,鹰潭,,0.9,,2,,,2017-08-17 11:00:00,17,49,26,82,30,良,新监测站,颗粒物(PM10),,126,,
57,鹰潭,,0.7,,2,,,2017-08-17 11:00:00,16,56,32,63,19,良,财苑宾馆,颗粒物(PM10),,83,,
61,鹰潭,,0.5,,2,,,2017-08-17 11:00:00,23,53,26,71,20,良,体育馆,颗粒物(PM10),,88,,
53,鹰潭,,0.2,,2,,,2017-08-17 11:00:00,23,53,25,56,27,良,三川水表,颗粒物(PM10),,54,,
42,营口,,1.98,,1,,,2017-08-17 11:00:00,45,73,81,41,42,优,营口,,,32,,
27,营口,,1.3,,2,,,2017-08-17 11:00:00,_,76,74,26,14,优,西炮台,_,,79,,
51,营口,,3.1,,2,,,2017-08-17 11:00:00,52,_,77,51,30,良,学府南路,颗粒物(PM10),,_,,
72,营口,,2.0,,2,,,2017-08-17 11:00:00,49,64,85,57,52,良,大庆路,细颗粒物(PM2.5),,13,,
31,营口,,1.5,,2,,,2017-08-17 11:00:00,35,79,89,31,15,优,镜湖西路,_,,4,,
73,银川,,0.73,,1,,,2017-08-17 11:00:00,28,116,65,94,73,良,银川,颗粒物(PM10),,40,,
62,银川,,0.7,,2,,,2017-08-17 11:00:00,20,119,106,73,23,良,贺兰山马莲口,颗粒物(PM10),,31,,
_,银川,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,银湖巷,_,,_,,
72,银川,,0.7,,2,,,2017-08-17 11:00:00,37,52,52,94,34,良,宁安大街,颗粒物(PM10),,94,,
_,银川,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,宁化生活区,_,,_,,
91,银川,,0.8,,2,,,2017-08-17 11:00:00,28,129,58,132,38,良,贺兰山东路,颗粒物(PM10),,16,,
81,银川,,0.9,,2,,,2017-08-17 11:00:00,42,137,49,111,26,良,学院路,颗粒物(PM10),,29,,
65,银川,,0.6,,2,,,2017-08-17 11:00:00,16,127,76,80,32,良,水乡路(直管站),颗粒物(PM10),,8,,
71,银川,,0.7,,2,,,2017-08-17 11:00:00,25,137,74,91,32,良,上海东路,颗粒物(PM10),,11,,
78,银川,,0.7,,2,,,2017-08-17 11:00:00,30,115,43,77,57,良,文昌北街,细颗粒物(PM2.5),,96,,
46,伊犁哈萨克州,,1.1,,1,,,2017-08-17 11:00:00,25,71,86,45,46,优,伊犁哈萨克州,,,11,,
42,伊犁哈萨克州,,1.1,,2,,,2017-08-17 11:00:00,38,61,79,42,23,优,市环保局,_,,11,,
37,伊犁哈萨克州,,0.9,,2,,,2017-08-17 11:00:00,16,83,95,37,18,优,新政府片区,_,,11,,
54,伊犁哈萨克州,,1.3,,2,,,2017-08-17 11:00:00,22,71,86,58,30,良,第二水厂,颗粒物(PM10),,11,,
0,伊犁哈萨克,,0.0,,1,,,2017-08-07 09:00:00,0,0,0,0,0,优,伊犁哈萨克,->,,0,,
_,伊犁哈萨克,,_,,2,,,2017-08-07 09:00:00,_,_,_,_,_,_,第二水厂,_,,_,,
_,伊犁哈萨克,,_,,2,,,2017-08-07 09:00:00,_,_,_,_,_,_,新政府片区,_,,_,,
_,伊犁哈萨克,,_,,2,,,2017-08-07 09:00:00,_,_,_,_,_,_,市环保局,_,,_,,
25,伊春,,0.33,,1,,,2017-08-17 11:00:00,3,55,22,24,25,优,伊春,,,7,,
20,伊春,,0.4,,2,,,2017-08-17 11:00:00,3,58,23,20,10,优,中心医院,_,,4,,
28,伊春,,0.5,,2,,,2017-08-17 11:00:00,4,57,22,28,13,优,林管局,_,,12,,
23,伊春,,0.1,,2,,,2017-08-17 11:00:00,2,51,21,_,16,优,汤旺河国家公园,_,,6,,
62,宜春,,0.72,,1,,,2017-08-17 11:00:00,18,64,28,71,62,良,宜春,颗粒物(PM10),,19,,
72,宜春,,0.9,,2,,,2017-08-17 11:00:00,15,71,28,74,52,良,槟榔水业,细颗粒物(PM2.5),,23,,
60,宜春,,0.8,,2,,,2017-08-17 11:00:00,15,68,27,69,39,良,市中国银行,颗粒物(PM10),,4,,
63,宜春,,0.9,,2,,,2017-08-17 11:00:00,14,75,34,76,41,良,市石油公司,颗粒物(PM10),,17,,
61,宜春,,0.2,,2,,,2017-08-17 11:00:00,20,64,36,71,39,良,市气象局,颗粒物(PM10),,30,,
59,宜春,,0.8,,2,,,2017-08-17 11:00:00,29,42,19,68,36,良,市广电局,颗粒物(PM10),,21,,
70,宜昌,,1.1,,1,,,2017-08-17 11:00:00,22,86,37,85,70,良,宜昌,颗粒物(PM2.5),,8,,
64,宜昌,,1.0,,2,,,2017-08-17 11:00:00,15,91,40,77,42,良,四零三,颗粒物(PM10),,12,,
83,宜昌,,1.2,,2,,,2017-08-17 11:00:00,29,81,31,95,61,良,白龙岗,细颗粒物(PM2.5),,9,,
82,宜昌,,1.1,,2,,,2017-08-17 11:00:00,34,77,29,94,60,良,伍家岗,细颗粒物(PM2.5),,9,,
70,宜昌,,1.3,,2,,,2017-08-17 11:00:00,16,97,45,90,43,良,点军区,颗粒物(PM10),,5,,
65,宜昌,,0.9,,2,,,2017-08-17 11:00:00,17,_,41,70,47,良,夷陵区,细颗粒物(PM2.5),,9,,
49,宜宾,,1.15,,1,,,2017-08-17 11:00:00,20,95,49,48,49,优,宜宾,,,9,,
38,宜宾,,1.0,,2,,,2017-08-17 11:00:00,20,72,30,32,26,优,石马中学,_,,8,,
43,宜宾,,1.4,,2,,,2017-08-17 11:00:00,25,95,45,43,26,优,市委,_,,5,,
50,宜宾,,1.2,,2,,,2017-08-17 11:00:00,27,104,49,46,35,优,宜宾四中,_,,13,,
53,宜宾,,1.2,,2,,,2017-08-17 11:00:00,22,104,62,56,30,良,市政府,颗粒物(PM10),,12,,
57,宜宾,,0.9,,2,,,2017-08-17 11:00:00,11,92,59,64,37,良,黄金嘴,颗粒物(PM10),,_,,
55,宜宾,,1.2,,2,,,2017-08-17 11:00:00,20,103,52,49,39,良,沙坪中学,细颗粒物(PM2.5),,8,,
38,烟台,,0.5,,1,,,2017-08-17 11:00:00,19,81,30,37,38,优,烟台,,,7,,
33,烟台,,0.5,,2,,,2017-08-17 11:00:00,20,93,34,33,19,优,开发区,_,,8,,
49,烟台,,0.5,,2,,,2017-08-17 11:00:00,34,64,23,49,20,优,轴承厂,_,,11,,
36,烟台,,0.6,,2,,,2017-08-17 11:00:00,21,78,38,36,11,优,西郊化工站,_,,6,,
43,烟台,,0.5,,2,,,2017-08-17 11:00:00,21,71,35,42,30,优,莱山环保局,_,,_,,
31,烟台,,0.5,,2,,,2017-08-17 11:00:00,9,99,23,12,12,优,福山环保局,_,,5,,
_,烟台,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,牟平环保局,_,,_,,
52,烟台,,0.4,,2,,,2017-08-17 11:00:00,12,82,31,54,14,良,牟平检察院,颗粒物(PM10),,8,,
43,扬州,,0.73,,1,,,2017-08-17 11:00:00,30,114,45,42,43,优,扬州,,,21,,
50,扬州,,1.3,,2,,,2017-08-17 11:00:00,33,110,39,50,27,优,城东财政所,_,,20,,
40,扬州,,0.4,,2,,,2017-08-17 11:00:00,31,114,45,40,3,优,市监测站,_,,33,,
38,扬州,,0.3,,2,,,2017-08-17 11:00:00,26,114,48,38,20,优,邗江监测站,_,,15,,
_,扬州,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,第四医院,_,,_,,
43,扬州,,0.9,,2,,,2017-08-17 11:00:00,30,119,48,43,17,优,五台山医院,_,,16,,
71,阳泉,,1.27,,1,,,2017-08-17 11:00:00,26,73,81,72,71,良,阳泉,颗粒物(PM2.5),,3,,
95,阳泉,,2.6,,2,,,2017-08-17 11:00:00,35,62,69,91,71,良,市中心,细颗粒物(PM2.5),,3,,
_,阳泉,,0.8,,2,,,2017-08-17 11:00:00,25,92,96,_,_,_,赛鱼,_,,4,,
83,阳泉,,1.0,,2,,,2017-08-17 11:00:00,22,63,76,68,61,良,南庄,细颗粒物(PM2.5),,5,,
90,阳泉,,1.1,,2,,,2017-08-17 11:00:00,24,78,82,74,67,良,白羊墅,细颗粒物(PM2.5),,1,,
73,阳泉,,1.1,,2,,,2017-08-17 11:00:00,26,73,83,95,41,良,平坦,颗粒物(PM10),,6,,
33,阳泉,,1.0,,2,,,2017-08-17 11:00:00,29,73,83,33,16,优,大阳泉,_,,3,,
26,阳江,,0.83,,1,,,2017-08-17 11:00:00,17,37,15,23,26,优,阳江,,,4,,
35,阳江,,0.8,,2,,,2017-08-17 11:00:00,18,37,14,26,24,优,鸳鸯湖,_,,3,,
25,阳江,,0.9,,2,,,2017-08-17 11:00:00,19,42,18,22,17,优,南恩路,_,,7,,
21,阳江,,0.8,,2,,,2017-08-17 11:00:00,16,33,13,21,13,优,马南垌,_,,4,,
55,盐城,,0.8,,1,,,2017-08-17 11:00:00,10,114,64,57,55,良,盐城,颗粒物(PM10),,12,,
52,盐城,,0.9,,2,,,2017-08-17 11:00:00,4,122,67,54,26,良,盐城电厂,颗粒物(PM10),,10,,
54,盐城,,0.6,,2,,,2017-08-17 11:00:00,8,132,63,57,24,良,市监测站,颗粒物(PM10),,12,,
50,盐城,,0.8,,2,,,2017-08-17 11:00:00,15,71,71,50,35,优,文峰中学,_,,18,,
64,盐城,,0.8,,2,,,2017-08-17 11:00:00,14,122,57,78,23,良,开发区管委会,颗粒物(PM10),,11,,
47,盐城,,0.9,,2,,,2017-08-17 11:00:00,9,123,64,47,24,优,宝龙广场,_,,13,,
25,延边州,,0.67,,1,,,2017-08-17 11:00:00,6,43,33,24,25,优,延边州,,,7,,
28,延边州,,0.8,,2,,,2017-08-17 11:00:00,3,45,34,28,8,优,妇幼医院,_,,6,,
25,延边州,,0.7,,2,,,2017-08-17 11:00:00,13,38,34,25,9,优,延边医院,_,,7,,
20,延边州,,0.5,,2,,,2017-08-17 11:00:00,2,46,32,20,6,优,朝阳川镇医院,_,,8,,
80,延安,,1.33,,1,,,2017-08-17 11:00:00,51,112,28,108,80,良,延安,颗粒物(PM10),,12,,
82,延安,,1.3,,2,,,2017-08-17 11:00:00,51,108,24,114,52,良,枣园,颗粒物(PM10),,12,,
81,延安,,1.3,,2,,,2017-08-17 11:00:00,48,106,30,111,47,良,延大医附院,颗粒物(PM10),,10,,
77,延安,,1.3,,2,,,2017-08-17 11:00:00,69,95,26,99,56,良,市监测站,细颗粒物(PM2.5),,12,,
54,延安,,1.4,,2,,,2017-08-17 11:00:00,38,142,32,_,38,良,百米大道,细颗粒物(PM2.5),,15,,
55,雅安,,0.57,,1,,,2017-08-17 11:00:00,28,59,52,58,55,良,雅安,颗粒物(PM10),,12,,
65,雅安,,0.6,,2,,,2017-08-17 11:00:00,25,28,31,79,35,良,大兴526台,颗粒物(PM10),,9,,
57,雅安,,0.6,,2,,,2017-08-17 11:00:00,16,67,54,63,35,良,建安厂,颗粒物(PM10),,13,,
43,雅安,,0.7,,2,,,2017-08-17 11:00:00,55,50,43,32,30,优,市政府,_,,24,,
58,雅安,,0.4,,2,,,2017-08-17 11:00:00,19,91,83,_,41,良,川农大,细颗粒物(PM2.5),,3,,
63,徐州,,0.69,,1,,,2017-08-17 11:00:00,18,158,61,73,63,良,徐州,颗粒物(PM10),,19,,
77,徐州,,0.7,,2,,,2017-08-17 11:00:00,15,181,81,71,38,良,黄河新村,臭氧1小时,,13,,
53,徐州,,0.8,,2,,,2017-08-17 11:00:00,35,158,40,44,37,良,淮塔,细颗粒物(PM2.5),,59,,
_,徐州,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,铜山兽医院,_,,_,,
73,徐州,,0.7,,2,,,2017-08-17 11:00:00,19,157,64,95,30,良,新城区,颗粒物(PM10),,10,,
68,徐州,,1.0,,2,,,2017-08-17 11:00:00,19,154,64,86,34,良,桃园路,颗粒物(PM10),,16,,
69,徐州,,0.5,,2,,,2017-08-17 11:00:00,14,164,66,87,42,良,农科院,颗粒物(PM10),,10,,
_,徐州,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,铜山区环保局,_,,_,,
58,徐州,,0.6,,2,,,2017-08-17 11:00:00,15,155,67,66,36,良,鼓楼区政府,颗粒物(PM10),,10,,
64,徐州,,0.5,,2,,,2017-08-17 11:00:00,15,143,48,62,46,良,铜山区招生办,细颗粒物(PM2.5),,17,,
56,许昌,,0.7,,1,,,2017-08-17 11:00:00,8,130,64,59,56,良,许昌,颗粒物(PM10),,7,,
58,许昌,,0.7,,2,,,2017-08-17 11:00:00,11,138,76,66,37,良,监测站,颗粒物(PM10),,9,,
_,许昌,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,环保局,_,,_,,
51,许昌,,0.7,,2,,,2017-08-17 11:00:00,6,123,52,52,35,良,开发区,颗粒物(PM10),,6,,
26,宣城,,0.5,,1,,,2017-08-17 11:00:00,20,80,48,23,26,优,宣城,,,12,,
29,宣城,,_,,2,,,2017-08-17 11:00:00,19,91,48,29,10,优,鳌峰子站,_,,17,,
28,宣城,,0.6,,2,,,2017-08-17 11:00:00,29,81,43,28,7,优,敬亭山子站,_,,10,,
22,宣城,,0.4,,2,,,2017-08-17 11:00:00,13,68,54,12,3,优,开发区子站,_,,9,,
13,西双版纳州,,0.7,,1,,,2017-08-17 11:00:00,7,26,14,12,13,优,西双版纳州,,,4,,
12,西双版纳州,,0.7,,2,,,2017-08-17 11:00:00,7,26,14,12,7,优,景洪市江南,_,,4,,
_,西双版纳州,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,景洪市江北,_,,_,,
77,忻州,,1.27,,1,,,2017-08-17 11:00:00,17,142,75,90,77,良,忻州,颗粒物(PM2.5),,16,,
90,忻州,,1.2,,2,,,2017-08-17 11:00:00,23,141,90,99,67,良,机引,细颗粒物(PM2.5),,17,,
78,忻州,,1.3,,2,,,2017-08-17 11:00:00,21,133,65,106,51,良,开发区,颗粒物(PM10),,10,,
72,忻州,,1.3,,2,,,2017-08-17 11:00:00,7,152,71,66,52,良,会展中心,细颗粒物(PM2.5),,23,,
54,新余,,0.82,,1,,,2017-08-17 11:00:00,19,79,42,56,54,良,新余,颗粒物(PM10),,14,,
32,新余,,0.6,,2,,,2017-08-17 11:00:00,3,75,37,_,22,优,北岗,_,,7,,
53,新余,,0.6,,2,,,2017-08-17 11:00:00,29,78,38,55,22,良,飞宇,颗粒物(PM10),,10,,
53,新余,,1.0,,2,,,2017-08-17 11:00:00,12,89,48,56,31,良,第二水厂,颗粒物(PM10),,11,,
46,新余,,0.8,,2,,,2017-08-17 11:00:00,4,92,51,46,23,优,市气象局,_,,13,,
59,新余,,1.1,,2,,,2017-08-17 11:00:00,49,65,40,67,33,良,新钢氧气厂,颗粒物(PM10),,30,,
54,信阳,,0.5,,1,,,2017-08-17 11:00:00,9,78,65,55,54,良,信阳,颗粒物(PM10),,7,,
59,信阳,,0.5,,2,,,2017-08-17 11:00:00,10,77,52,68,33,良,平桥分局,颗粒物(PM10),,7,,
34,信阳,,0.6,,2,,,2017-08-17 11:00:00,6,64,74,34,21,优,南湾水厂,_,,_,,
37,信阳,,0.4,,2,,,2017-08-17 11:00:00,11,90,67,37,17,优,市酿酒公司,_,,6,,
66,信阳,,0.5,,2,,,2017-08-17 11:00:00,10,83,67,82,30,良,审计局,颗粒物(PM10),,9,,
99,新乡,,1.5,,1,,,2017-08-17 11:00:00,30,100,58,117,99,良,新乡,颗粒物(PM2.5),,18,,
_,新乡,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,科技学院,_,,_,,
85,新乡,,1.8,,2,,,2017-08-17 11:00:00,34,93,57,119,59,良,环保西院,颗粒物(PM10),,17,,
119,新乡,,1.2,,2,,,2017-08-17 11:00:00,29,95,56,100,90,轻度污染,开发区,细颗粒物(PM2.5),,3,,
125,新乡,,1.5,,2,,,2017-08-17 11:00:00,27,99,62,154,95,轻度污染,环保东院,细颗粒物(PM2.5),,_,,
73,新乡,,1.5,,2,,,2017-08-17 11:00:00,33,114,59,95,52,良,市委党校,颗粒物(PM10),,34,,
53,西宁,,0.73,,1,,,2017-08-17 11:00:00,15,65,57,53,53,良,西宁,颗粒物(PM10),,38,,
52,西宁,,0.8,,2,,,2017-08-17 11:00:00,17,73,67,53,10,良,市环境监测站,颗粒物(PM10),,60,,
_,西宁,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,省医药仓库,_,,_,,
54,西宁,,0.9,,2,,,2017-08-17 11:00:00,14,47,32,57,34,良,四陆医院,颗粒物(PM10),,47,,
51,西宁,,0.5,,2,,,2017-08-17 11:00:00,15,77,74,51,29,良,第五水厂,颗粒物(PM10),,9,,
86,邢台,,0.8,,1,,,2017-08-17 11:00:00,20,70,83,96,86,良,邢台,颗粒物(PM2.5),,4,,
84,邢台,,0.5,,2,,,2017-08-17 11:00:00,13,70,82,92,62,良,达活泉,细颗粒物(PM2.5),,4,,
76,邢台,,1.1,,2,,,2017-08-17 11:00:00,25,75,75,101,53,良,邢师高专,颗粒物(PM10),,5,,
109,邢台,,0.7,,2,,,2017-08-17 11:00:00,26,65,90,_,82,轻度污染,路桥公司,细颗粒物(PM2.5),,3,,
77,邢台,,0.9,,2,,,2017-08-17 11:00:00,18,73,87,95,56,良,市环保局,细颗粒物(PM2.5),,7,,
31,兴安盟,,0.33,,1,,,2017-08-17 11:00:00,8,58,38,30,31,优,兴安盟,,,2,,
_,兴安盟,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,盟监测站,_,,_,,
36,兴安盟,,0.3,,2,,,2017-08-17 11:00:00,15,59,41,36,25,优,胜华新制药厂,_,,2,,
26,兴安盟,,0.1,,2,,,2017-08-17 11:00:00,3,60,39,26,12,优,科右前旗环保局,_,,3,,
29,兴安盟,,0.6,,2,,,2017-08-17 11:00:00,7,56,35,29,11,优,北滨河,_,,1,,
66,锡林郭勒盟,,0.25,,1,,,2017-08-17 11:00:00,38,65,28,80,66,良,锡林郭勒盟,"颗粒物(PM2.5),颗粒物(PM10)",,13,,
77,锡林郭勒盟,,0.2,,2,,,2017-08-17 11:00:00,43,65,26,85,56,良,市环保监测站,细颗粒物(PM2.5),,16,,
63,锡林郭勒盟,,0.3,,2,,,2017-08-17 11:00:00,34,66,31,75,38,良,市政府,颗粒物(PM10),,11,,
20,孝感,,0.75,,1,,,2017-08-17 11:00:00,10,61,26,19,20,优,孝感,,,8,,
23,孝感,,0.8,,2,,,2017-08-17 11:00:00,10,63,25,23,4,优,文化路,_,,9,,
19,孝感,,0.7,,2,,,2017-08-17 11:00:00,10,59,27,16,13,优,东城区,_,,7,,
72,咸阳,,1.2,,1,,,2017-08-17 11:00:00,22,143,70,90,72,良,咸阳,颗粒物(PM2.5),,17,,
70,咸阳,,1.3,,2,,,2017-08-17 11:00:00,21,145,73,89,44,良,气象站,颗粒物(PM10),,17,,
73,咸阳,,1.2,,2,,,2017-08-17 11:00:00,30,150,72,_,53,良,中华小区,细颗粒物(PM2.5),,20,,
90,咸阳,,1.1,,2,,,2017-08-17 11:00:00,12,140,78,97,67,良,师范学院,细颗粒物(PM2.5),,_,,
68,咸阳,,1.2,,2,,,2017-08-17 11:00:00,25,139,59,86,44,良,中医学院,颗粒物(PM10),,15,,
19,咸宁,,0.93,,1,,,2017-08-17 11:00:00,6,41,36,12,19,优,咸宁,,,3,,
13,咸宁,,0.9,,2,,,2017-08-17 11:00:00,4,40,35,10,8,优,森林公园,_,,1,,
14,咸宁,,0.9,,2,,,2017-08-17 11:00:00,7,44,39,14,9,优,市发改委,_,,2,,
13,咸宁,,0.9,,2,,,2017-08-17 11:00:00,8,41,34,_,8,优,咸安区政府,_,,2,,
32,咸宁,,1.0,,2,,,2017-08-17 11:00:00,5,39,36,_,22,优,长江产业园,_,,8,,
55,襄阳,,0.7,,1,,,2017-08-17 11:00:00,11,75,51,57,55,良,襄阳,颗粒物(PM10),,12,,
55,襄阳,,_,,2,,,2017-08-17 11:00:00,16,77,52,59,39,良,襄城运动路,颗粒物(PM10)细颗粒物(PM2.5),,21,,
_,襄阳,,_,,2,,,2017-08-17 11:00:00,_,_,_,_,_,_,樊城新华路,_,,_,,
55,襄阳,,0.7,,2,,,2017-08-17 11:00:00,8,73,50,60,31,良,高新管委会,颗粒物(PM10),,8,,
52,襄阳,,0.7,,2,,,2017-08-17 11:00:00,9,75,51,53,33,良,襄州航空路,颗粒物(PM10),,9,,
63,湘西州,,1.0,,1,,,2017-08-17 11:00:00,17,30,9,73,63,良,湘西州,颗粒物(PM10),,6,,
32,湘西州,,1.0,,2,,,2017-08-17 11:00:00,19,43,10,32,8,优,跃进水库,_,,16,,
43,湘西州,,1.0,,2,,,2017-08-17 11:00:00,24,29,10,43,18,优,州政府,_,,3,,
98,湘西州,,_,,2,,,2017-08-17 11:00:00,10,19,7,145,21,良,吉首市计生局,颗粒物(PM10),,1,,
57,湘潭,,1.2,,1,,,2017-08-17 11:00:00,26,52,17,61,57,良,湘潭,颗粒物(PM10),,32,,
56,湘潭,,1.1,,2,,,2017-08-17 11:00:00,26,61,18,61,22,良,板塘,颗粒物(PM10),,31,,
55,湘潭,,0.9,,2,,,2017-08-17 11:00:00,32,48,14,59,21,良,市监测站,颗粒物(PM10),,20,,
65,湘潭,,2.4,,2,,,2017-08-17 11:00:00,42,26,19,80,29,良,江麓,颗粒物(PM10),,90,,
55,湘潭,,1.0,,2,,,2017-08-17 11:00:00,21,64,18,59,19,良,岳塘,颗粒物(PM10),,19,,
57,湘潭,,1.2,,2,,,2017-08-17 11:00:00,34,44,13,63,28,良,科大,颗粒物(PM10),,38,,
59,湘潭,,0.8,,2,,,2017-08-17 11:00:00,25,53,13,68,15,良,昭山,颗粒物(PM10),,16,,
43,湘潭,,1.0,,2,,,2017-08-17 11:00:00,6,74,26,43,21,优,韶山,_,,12,,
72,西安,,1.16,,1,,,2017-08-17 11:00:00,39,113,64,91,72,良,西安,颗粒物(PM10),,9,,
79,西安,,0.9,,2,,,2017-08-17 11:00:00,46,117,69,108,38,良,高压开关厂,颗粒物(PM10),,_,,
70,西安,,1.3,,2,,,2017-08-17 11:00:00,39,113,67,89,45,良,兴庆小区,颗粒物(PM10),,4,,
70,西安,,1.3,,2,,,2017-08-17 11:00:00,61,103,70,90,39,良,纺织城,颗粒物(PM10),,7,,
65,西安,,1.3,,2,,,2017-08-17 11:00:00,55,103,85,80,39,良,小寨,颗粒物(PM10),,8,,
79,西安,,1.0,,2,,,2017-08-17 11:00:00,41,114,56,107,51,良,市人民体育场,颗粒物(PM10),,13,,
73,西安,,1.3,,2,,,2017-08-17 11:00:00,64,86,55,96,41,良,高新西区,颗粒物(PM10),,9,,
70,西安,,0.9,,2,,,2017-08-17 11:00:00,29,120,68,89,43,良,经开区,颗粒物(PM10),,11,,
56,西安,,1.0,,2,,,2017-08-17 11:00:00,22,131,66,62,33,良,长安区,颗粒物(PM10),,12,,
75,西安,,1.3,,2,,,2017-08-17 11:00:00,19,145,92,86,55,良,阎良区,细颗粒物(PM2.5),,16,,
74,西安,,1.2,,2,,,2017-08-17 11:00:00,44,91,33,97,46,良,临潼区,颗粒物(PM10),,8,,
71,西安,,1.4,,2,,,2017-08-17 11:00:00,19,142,54,92,43,良,草滩,颗粒物(PM10),,13,,
65,西安,,1.1,,2,,,2017-08-17 11:00:00,44,92,72,79,45,良,曲江文化产业集团,颗粒物(PM10),,7,,
83,西安,,1.1,,2,,,2017-08-17 11:00:00,25,116,50,115,50,良,广运潭,颗粒物(PM10),,11,,
36,厦门,,0.33,,1,,,2017-08-17 11:00:00,24,68,43,35,36,优,厦门,,,10,,
57,厦门,,0.3,,2,,,2017-08-17 11:00:00,15,119,52,60,40,良,溪东,细颗粒物(PM2.5),,16,,
27,厦门,,_,,2,,,2017-08-17 11:00:00,23,55,42,27,15,优,洪文,_,,8,,
35,厦门,,0.4,,2,,,2017-08-17 11:00:00,30,33,32,34,24,优,鼓浪屿,_,,10,,
